country,date,policy
Belgium,6/3/2020,2
Belgium,6/4/2020,2
Belgium,6/5/2020,2
Belgium,6/6/2020,2
Belgium,6/7/2020,2
Belgium,6/8/2020,0
Belgium,6/9/2020,0
Belgium,6/10/2020,0
Belgium,6/11/2020,0
Belgium,6/12/2020,0
Belgium,6/13/2020,0
Belgium,6/14/2020,0
Belgium,6/15/2020,0
Belgium,6/16/2020,0
Belgium,6/17/2020,0
Belgium,6/18/2020,0
Belgium,6/19/2020,0
Belgium,6/20/2020,0
Belgium,6/21/2020,0
Belgium,6/22/2020,0
Belgium,6/23/2020,0
Belgium,6/24/2020,0
Belgium,6/25/2020,0
Belgium,6/26/2020,0
Belgium,6/27/2020,0
Belgium,6/28/2020,0
Belgium,6/29/2020,0
Belgium,6/30/2020,0
Belgium,7/1/2020,0
Belgium,7/2/2020,0
Belgium,7/3/2020,0
Belgium,7/4/2020,0
Belgium,7/5/2020,0
Belgium,7/6/2020,0
Belgium,7/7/2020,0
Belgium,7/8/2020,0
Belgium,7/9/2020,0
Belgium,7/10/2020,0
Belgium,7/11/2020,0
Belgium,7/12/2020,0
Belgium,7/13/2020,0
Belgium,7/14/2020,0
Belgium,7/15/2020,0
Belgium,7/16/2020,0
Belgium,7/17/2020,0
Belgium,7/18/2020,0
Belgium,7/19/2020,0
Belgium,7/20/2020,0
Belgium,7/21/2020,0
Belgium,7/22/2020,0
Belgium,7/23/2020,0
Belgium,7/24/2020,0
Belgium,7/25/2020,0
Belgium,7/26/2020,0
Belgium,7/27/2020,0
Belgium,7/28/2020,0
Belgium,7/29/2020,2
Belgium,7/30/2020,2
Belgium,7/31/2020,2
Belgium,8/1/2020,2
Belgium,8/2/2020,2
Belgium,8/3/2020,2
Belgium,8/4/2020,2
Belgium,8/5/2020,2
Belgium,8/6/2020,2
Belgium,8/7/2020,1
Belgium,8/8/2020,1
Belgium,8/9/2020,1
Belgium,8/10/2020,1
Belgium,8/11/2020,1
Belgium,8/12/2020,2
Belgium,8/13/2020,2
Belgium,8/14/2020,2
Belgium,8/15/2020,2
Belgium,8/16/2020,2
Belgium,8/17/2020,2
Belgium,8/18/2020,2
Belgium,8/19/2020,2
Belgium,8/20/2020,2
Belgium,8/21/2020,2
Belgium,8/22/2020,2
Belgium,8/23/2020,2
Belgium,8/24/2020,2
Belgium,8/25/2020,2
Belgium,8/26/2020,2
Belgium,8/27/2020,0
Belgium,8/28/2020,0
Belgium,8/29/2020,0
Belgium,8/30/2020,0
Belgium,8/31/2020,0
Belgium,9/1/2020,0
Belgium,9/2/2020,0
Belgium,9/3/2020,0
Belgium,9/4/2020,0
Belgium,9/5/2020,0
Belgium,9/6/2020,0
Belgium,9/7/2020,0
Belgium,9/8/2020,0
Belgium,9/9/2020,0
Belgium,9/10/2020,0
Belgium,9/11/2020,0
Belgium,9/12/2020,0
Belgium,9/13/2020,0
Belgium,9/14/2020,0
Belgium,9/15/2020,0
Belgium,9/16/2020,0
Belgium,9/17/2020,0
Belgium,9/18/2020,0
Belgium,9/19/2020,0
Belgium,9/20/2020,0
Belgium,9/21/2020,0
Belgium,9/22/2020,0
Belgium,9/23/2020,0
Belgium,9/24/2020,0
Belgium,9/25/2020,0
Belgium,9/26/2020,0
Belgium,9/27/2020,0
Belgium,9/28/2020,0
Belgium,9/29/2020,0
Belgium,9/30/2020,0
Belgium,10/1/2020,0
Belgium,10/2/2020,0
Belgium,10/3/2020,0
Belgium,10/4/2020,0
Belgium,10/5/2020,0
Belgium,10/6/2020,0
Belgium,10/7/2020,0
Belgium,10/8/2020,0
Belgium,10/9/2020,0
Belgium,10/10/2020,0
Belgium,10/11/2020,0
Belgium,10/12/2020,0
Belgium,10/13/2020,0
Belgium,10/14/2020,0
Belgium,10/15/2020,0
Belgium,10/16/2020,0
Belgium,10/17/2020,0
Belgium,10/18/2020,0
Belgium,10/19/2020,2
Belgium,10/20/2020,2
Belgium,10/21/2020,2
Belgium,10/22/2020,2
Belgium,10/23/2020,2
Belgium,10/24/2020,2
Belgium,10/25/2020,2
Belgium,10/26/2020,2
Belgium,10/27/2020,2
Belgium,10/28/2020,2
Belgium,10/29/2020,2
Belgium,10/30/2020,2
Belgium,10/31/2020,2
Belgium,11/1/2020,2
Belgium,11/2/2020,2
Belgium,11/3/2020,2
Belgium,11/4/2020,2
Belgium,11/5/2020,2
Belgium,11/6/2020,2
Belgium,11/7/2020,2
Belgium,11/8/2020,2
Belgium,11/9/2020,2
Belgium,11/10/2020,2
Belgium,11/11/2020,2
Belgium,11/12/2020,2
Belgium,11/13/2020,2
Belgium,11/14/2020,2
Belgium,11/15/2020,2
Belgium,11/16/2020,2
Belgium,11/17/2020,2
Belgium,11/18/2020,2
Belgium,11/19/2020,2
Belgium,11/20/2020,2
Belgium,11/21/2020,2
Belgium,11/22/2020,2
Belgium,11/23/2020,2
Belgium,11/24/2020,2
Belgium,11/25/2020,2
Belgium,11/26/2020,2
Belgium,11/27/2020,2
Belgium,11/28/2020,2
Belgium,11/29/2020,2
Belgium,11/30/2020,2
Belgium,12/1/2020,2
Belgium,12/2/2020,2
Belgium,12/3/2020,2
Belgium,12/4/2020,2
Belgium,12/5/2020,2
Belgium,12/6/2020,2
Belgium,12/7/2020,2
Belgium,12/8/2020,2
Belgium,12/9/2020,2
Belgium,12/10/2020,2
Belgium,12/11/2020,2
Belgium,12/12/2020,2
Belgium,12/13/2020,2
Belgium,12/14/2020,2
Belgium,12/15/2020,2
Belgium,12/16/2020,2
Belgium,12/17/2020,2
Belgium,12/18/2020,2
Belgium,12/19/2020,2
Belgium,12/20/2020,2
Belgium,12/21/2020,2
Belgium,12/22/2020,2
Belgium,12/23/2020,2
Belgium,12/24/2020,2
Belgium,12/25/2020,2
Belgium,12/26/2020,2
Belgium,12/27/2020,2
Belgium,12/28/2020,2
Belgium,12/29/2020,2
Belgium,12/30/2020,2
Belgium,12/31/2020,2
Belgium,1/1/2021,2
Belgium,1/2/2021,2
Belgium,1/3/2021,2
Belgium,1/4/2021,2
Belgium,1/5/2021,2
Belgium,1/6/2021,2
Belgium,1/7/2021,2
Belgium,1/8/2021,2
Belgium,1/9/2021,2
Belgium,1/10/2021,2
Belgium,1/11/2021,2
Belgium,1/12/2021,2
Belgium,1/13/2021,2
Belgium,1/14/2021,2
Belgium,1/15/2021,2
Belgium,1/16/2021,2
Belgium,1/17/2021,2
Belgium,1/18/2021,2
Belgium,1/19/2021,2
Belgium,1/20/2021,2
Belgium,1/21/2021,2
Belgium,1/22/2021,2
Belgium,1/23/2021,2
Belgium,1/24/2021,2
Belgium,1/25/2021,2
Belgium,1/26/2021,2
Belgium,1/27/2021,2
Belgium,1/28/2021,2
Belgium,1/29/2021,2
Belgium,1/30/2021,2
Belgium,1/31/2021,2
Belgium,2/1/2021,2
Belgium,2/2/2021,2
Belgium,2/3/2021,2
Belgium,2/4/2021,2
Belgium,2/5/2021,2
Belgium,2/6/2021,2
Belgium,2/7/2021,2
Belgium,2/8/2021,2
Belgium,2/9/2021,2
Belgium,2/10/2021,2
Belgium,2/11/2021,2
Belgium,2/12/2021,2
Belgium,2/13/2021,2
Belgium,2/14/2021,2
Belgium,2/15/2021,2
Belgium,2/16/2021,2
Belgium,2/17/2021,2
Belgium,2/18/2021,2
Belgium,2/19/2021,2
Belgium,2/20/2021,2
Belgium,2/21/2021,2
Belgium,2/22/2021,2
Belgium,2/23/2021,2
Belgium,2/24/2021,2
Belgium,2/25/2021,2
Belgium,2/26/2021,2
Belgium,2/27/2021,2
Belgium,2/28/2021,2
Belgium,3/1/2021,2
Belgium,3/2/2021,2
Belgium,3/3/2021,2
Belgium,3/4/2021,2
Belgium,3/5/2021,2
Belgium,3/6/2021,2
Belgium,3/7/2021,2
Belgium,3/8/2021,2
Belgium,3/9/2021,2
Belgium,3/10/2021,2
Belgium,3/11/2021,2
Belgium,3/12/2021,2
Belgium,3/13/2021,2
Belgium,3/14/2021,2
Belgium,3/15/2021,2
Belgium,3/16/2021,2
Belgium,3/17/2021,2
Belgium,3/18/2021,2
Belgium,3/19/2021,2
Belgium,3/20/2021,2
Belgium,3/21/2021,2
Belgium,3/22/2021,2
Belgium,3/23/2021,2
Belgium,3/24/2021,2
Belgium,3/25/2021,2
Belgium,3/26/2021,2
Belgium,3/27/2021,2
Belgium,3/28/2021,2
Belgium,3/29/2021,2
Belgium,3/30/2021,2
Belgium,3/31/2021,2
Belgium,4/1/2021,2
Belgium,4/2/2021,2
Belgium,4/3/2021,2
Belgium,4/4/2021,2
Belgium,4/5/2021,2
Belgium,4/6/2021,2
Belgium,4/7/2021,2
Belgium,4/8/2021,2
Belgium,4/9/2021,2
Belgium,4/10/2021,2
Belgium,4/11/2021,2
Belgium,4/12/2021,2
Belgium,4/13/2021,2
Belgium,4/14/2021,2
Belgium,4/15/2021,2
Belgium,4/16/2021,2
Belgium,4/17/2021,2
Belgium,4/18/2021,2
Belgium,4/19/2021,2
Belgium,4/20/2021,2
Belgium,4/21/2021,2
Belgium,4/22/2021,2
Belgium,4/23/2021,2
Belgium,4/24/2021,2
Belgium,4/25/2021,2
Belgium,4/26/2021,2
Belgium,4/27/2021,2
Belgium,4/28/2021,2
Belgium,4/29/2021,2
Belgium,4/30/2021,2
Belgium,5/1/2021,2
Belgium,5/2/2021,2
Belgium,5/3/2021,2
Belgium,5/4/2021,2
Belgium,5/5/2021,2
Belgium,5/6/2021,2
Belgium,5/7/2021,2
Belgium,5/8/2021,1
Belgium,5/9/2021,1
Belgium,5/10/2021,1
Belgium,5/11/2021,1
Belgium,5/12/2021,1
Belgium,5/13/2021,1
Belgium,5/14/2021,1
Belgium,5/15/2021,1
Belgium,5/16/2021,1
Belgium,5/17/2021,1
Belgium,5/18/2021,1
Belgium,5/19/2021,1
Belgium,5/20/2021,1
Belgium,5/21/2021,1
Belgium,5/22/2021,1
Belgium,5/23/2021,1
Belgium,5/24/2021,1
Belgium,5/25/2021,1
Belgium,5/26/2021,1
Belgium,5/27/2021,1
Belgium,5/28/2021,1
Belgium,5/29/2021,1
Belgium,5/30/2021,1
Belgium,5/31/2021,1
Belgium,6/1/2021,1
Belgium,6/2/2021,1
Belgium,6/3/2021,1
Belgium,6/4/2021,1
Belgium,6/5/2021,1
Belgium,6/6/2021,1
Belgium,6/7/2021,1
Belgium,6/8/2021,1
Belgium,6/9/2021,1
Belgium,6/10/2021,1
Belgium,6/11/2021,1
Belgium,6/12/2021,1
Belgium,6/13/2021,1
Belgium,6/14/2021,1
Belgium,6/15/2021,1
Belgium,6/16/2021,1
Belgium,6/17/2021,1
Belgium,6/18/2021,1
Belgium,6/19/2021,1
Belgium,6/20/2021,1
Belgium,6/21/2021,1
Belgium,6/22/2021,1
Belgium,6/23/2021,1
Belgium,6/24/2021,1
Belgium,6/25/2021,1
Belgium,6/26/2021,1
Belgium,6/27/2021,1
Belgium,6/28/2021,1
Belgium,6/29/2021,1
Belgium,6/30/2021,1
Belgium,7/1/2021,1
Belgium,7/2/2021,1
Belgium,7/3/2021,1
Belgium,7/4/2021,1
Belgium,7/5/2021,1
Belgium,7/6/2021,1
Belgium,7/7/2021,1
Belgium,7/8/2021,1
Belgium,7/9/2021,1
Belgium,7/10/2021,1
Belgium,7/11/2021,1
Belgium,7/12/2021,1
Belgium,7/13/2021,1
Belgium,7/14/2021,1
Belgium,7/15/2021,1
Belgium,7/16/2021,1
Belgium,7/17/2021,1
Belgium,7/18/2021,1
Belgium,7/19/2021,1
Belgium,7/20/2021,1
Belgium,7/21/2021,1
Belgium,7/22/2021,1
Belgium,7/23/2021,1
Belgium,7/24/2021,1
Belgium,7/25/2021,1
Belgium,7/26/2021,1
Belgium,7/27/2021,1
Belgium,7/28/2021,1
Belgium,7/29/2021,1
Belgium,7/30/2021,0
Belgium,7/31/2021,0
Belgium,8/1/2021,0
Belgium,8/2/2021,0
Belgium,8/3/2021,0
Belgium,8/4/2021,0
Belgium,8/5/2021,0
Belgium,8/6/2021,0
Belgium,8/7/2021,0
Belgium,8/8/2021,0
Belgium,8/9/2021,0
Belgium,8/10/2021,0
Belgium,8/11/2021,0
Belgium,8/12/2021,0
Belgium,8/13/2021,0
Belgium,8/14/2021,0
Belgium,8/15/2021,0
Belgium,8/16/2021,0
Belgium,8/17/2021,0
Belgium,8/18/2021,0
Belgium,8/19/2021,0
Belgium,8/20/2021,0
Belgium,8/21/2021,0
Belgium,8/22/2021,0
Belgium,8/23/2021,0
Belgium,8/24/2021,0
Belgium,8/25/2021,0
Belgium,8/26/2021,0
Belgium,8/27/2021,0
Belgium,8/28/2021,0
Belgium,8/29/2021,0
Belgium,8/30/2021,0
Belgium,8/31/2021,0
Belgium,9/1/2021,0
Belgium,9/2/2021,0
Belgium,9/3/2021,0
Belgium,9/4/2021,0
Belgium,9/5/2021,0
Belgium,9/6/2021,0
Belgium,9/7/2021,0
Belgium,9/8/2021,0
Belgium,9/9/2021,0
Belgium,9/10/2021,0
Belgium,9/11/2021,0
Belgium,9/12/2021,0
Belgium,9/13/2021,0
Belgium,9/14/2021,0
Belgium,9/15/2021,0
Belgium,9/16/2021,0
Belgium,9/17/2021,0
Belgium,9/18/2021,0
Belgium,9/19/2021,0
Belgium,9/20/2021,0
Belgium,9/21/2021,0
Belgium,9/22/2021,0
Belgium,9/23/2021,0
Belgium,9/24/2021,0
Belgium,9/25/2021,0
Belgium,9/26/2021,0
Belgium,9/27/2021,0
Belgium,9/28/2021,0
Belgium,9/29/2021,0
Belgium,9/30/2021,0
Belgium,10/1/2021,0
Belgium,10/2/2021,0
Belgium,10/3/2021,0
Belgium,10/4/2021,0
Belgium,10/5/2021,0
Belgium,10/6/2021,0
Belgium,10/7/2021,0
Belgium,10/8/2021,0
Belgium,10/9/2021,0
Belgium,10/10/2021,0
Belgium,10/11/2021,0
Belgium,10/12/2021,0
Belgium,10/13/2021,0
Belgium,10/14/2021,0
Belgium,10/15/2021,0
Belgium,10/16/2021,0
Belgium,10/17/2021,0
Belgium,10/18/2021,0
Belgium,10/19/2021,0
Belgium,10/20/2021,0
Belgium,10/21/2021,0
Belgium,10/22/2021,0
Belgium,10/23/2021,0
Belgium,10/24/2021,0
Belgium,10/25/2021,0
Belgium,10/26/2021,0
Belgium,10/27/2021,0
Belgium,10/28/2021,0
Belgium,10/29/2021,0
Belgium,10/30/2021,0
Belgium,10/31/2021,0
Belgium,11/1/2021,0
Belgium,11/2/2021,0
Belgium,11/3/2021,0
Belgium,11/4/2021,0
Belgium,11/5/2021,0
Belgium,11/6/2021,0
Belgium,11/7/2021,0
Belgium,11/8/2021,0
Belgium,11/9/2021,0
Belgium,11/10/2021,0
Belgium,11/11/2021,0
Belgium,11/12/2021,0
Belgium,11/13/2021,0
Belgium,11/14/2021,0
Belgium,11/15/2021,0
Belgium,11/16/2021,0
Belgium,11/17/2021,0
Belgium,11/18/2021,0
Belgium,11/19/2021,0
Belgium,11/20/2021,0
Belgium,11/21/2021,0
Belgium,11/22/2021,0
Belgium,11/23/2021,0
Belgium,11/24/2021,0
Belgium,11/25/2021,0
Belgium,11/26/2021,0
Belgium,11/27/2021,0
Belgium,11/28/2021,0
Belgium,11/29/2021,0
Belgium,11/30/2021,0
Belgium,12/1/2021,0
Belgium,12/2/2021,0
Belgium,12/3/2021,0
Belgium,12/4/2021,0
Belgium,12/5/2021,0
Belgium,12/6/2021,0
Belgium,12/7/2021,0
Belgium,12/8/2021,0
Belgium,12/9/2021,0
Belgium,12/10/2021,0
Belgium,12/11/2021,0
Belgium,12/12/2021,0
Belgium,12/13/2021,0
Belgium,12/14/2021,0
Belgium,12/15/2021,0
Belgium,12/16/2021,0
Belgium,12/17/2021,0
Belgium,12/18/2021,0
Belgium,12/19/2021,0
Belgium,12/20/2021,0
Belgium,12/21/2021,0
Belgium,12/22/2021,0
Belgium,12/23/2021,0
Belgium,12/24/2021,0
Belgium,12/25/2021,0
Belgium,12/26/2021,0
Belgium,12/27/2021,0
Belgium,12/28/2021,0
Belgium,12/29/2021,0
Belgium,12/30/2021,0
Belgium,12/31/2021,0
France,1/1/2020,0
France,1/2/2020,0
France,1/3/2020,0
France,1/4/2020,0
France,1/5/2020,0
France,1/6/2020,0
France,1/7/2020,0
France,1/8/2020,0
France,1/9/2020,0
France,1/10/2020,0
France,1/11/2020,0
France,1/12/2020,0
France,1/13/2020,0
France,1/14/2020,0
France,1/15/2020,0
France,1/16/2020,0
France,1/17/2020,0
France,1/18/2020,0
France,1/19/2020,0
France,1/20/2020,0
France,1/21/2020,0
France,1/22/2020,0
France,1/23/2020,0
France,1/24/2020,0
France,1/25/2020,0
France,1/26/2020,0
France,1/27/2020,0
France,1/28/2020,0
France,1/29/2020,0
France,1/30/2020,0
France,1/31/2020,0
France,2/1/2020,0
France,2/2/2020,0
France,2/3/2020,0
France,2/4/2020,0
France,2/5/2020,0
France,2/6/2020,0
France,2/7/2020,0
France,2/8/2020,0
France,2/9/2020,0
France,2/10/2020,0
France,2/11/2020,0
France,2/12/2020,0
France,2/13/2020,0
France,2/14/2020,0
France,2/15/2020,0
France,2/16/2020,0
France,2/17/2020,0
France,2/18/2020,0
France,2/19/2020,0
France,2/20/2020,0
France,2/21/2020,0
France,2/22/2020,0
France,2/23/2020,0
France,2/24/2020,0
France,2/25/2020,0
France,2/26/2020,0
France,2/27/2020,0
France,2/28/2020,0
France,2/29/2020,0
France,3/1/2020,0
France,3/2/2020,0
France,3/3/2020,0
France,3/4/2020,0
France,3/5/2020,0
France,3/6/2020,0
France,3/7/2020,0
France,3/8/2020,0
France,3/9/2020,0
France,3/10/2020,0
France,3/11/2020,0
France,3/12/2020,0
France,3/13/2020,0
France,3/14/2020,0
France,3/15/2020,0
France,3/16/2020,0
France,3/17/2020,2
France,3/18/2020,2
France,3/19/2020,2
France,3/20/2020,2
France,3/21/2020,2
France,3/22/2020,2
France,3/23/2020,2
France,3/24/2020,2
France,3/25/2020,2
France,3/26/2020,2
France,3/27/2020,2
France,3/28/2020,2
France,3/29/2020,2
France,3/30/2020,2
France,3/31/2020,2
France,4/1/2020,2
France,4/2/2020,2
France,4/3/2020,2
France,4/4/2020,2
France,4/5/2020,2
France,4/6/2020,2
France,4/7/2020,2
France,4/8/2020,2
France,4/9/2020,2
France,4/10/2020,2
France,4/11/2020,2
France,4/12/2020,2
France,4/13/2020,2
France,4/14/2020,2
France,4/15/2020,2
France,4/16/2020,2
France,4/17/2020,2
France,4/18/2020,2
France,4/19/2020,2
France,4/20/2020,2
France,4/21/2020,2
France,4/22/2020,2
France,4/23/2020,2
France,4/24/2020,2
France,4/25/2020,2
France,4/26/2020,2
France,4/27/2020,2
France,4/28/2020,2
France,4/29/2020,2
France,4/30/2020,2
France,5/1/2020,2
France,5/2/2020,2
France,5/3/2020,2
France,5/4/2020,2
France,5/5/2020,2
France,5/6/2020,2
France,5/7/2020,2
France,5/8/2020,2
France,5/9/2020,2
France,5/10/2020,2
France,5/11/2020,1
France,5/12/2020,1
France,5/13/2020,1
France,5/14/2020,1
France,5/15/2020,1
France,5/16/2020,1
France,5/17/2020,1
France,5/18/2020,1
France,5/19/2020,1
France,5/20/2020,1
France,5/21/2020,1
France,5/22/2020,1
France,5/23/2020,1
France,5/24/2020,1
France,5/25/2020,1
France,5/26/2020,1
France,5/27/2020,1
France,5/28/2020,1
France,5/29/2020,1
France,5/30/2020,1
France,5/31/2020,1
France,6/1/2020,1
France,6/2/2020,1
France,6/3/2020,1
France,6/4/2020,1
France,6/5/2020,1
France,6/6/2020,1
France,6/7/2020,1
France,6/8/2020,1
France,6/9/2020,1
France,6/10/2020,1
France,6/11/2020,1
France,6/12/2020,1
France,6/13/2020,1
France,6/14/2020,1
France,6/15/2020,1
France,6/16/2020,1
France,6/17/2020,1
France,6/18/2020,1
France,6/19/2020,1
France,6/20/2020,1
France,6/21/2020,1
France,6/22/2020,0
France,6/23/2020,0
France,6/24/2020,0
France,6/25/2020,0
France,6/26/2020,0
France,6/27/2020,0
France,6/28/2020,0
France,6/29/2020,0
France,6/30/2020,0
France,7/1/2020,0
France,7/2/2020,0
France,7/3/2020,0
France,7/4/2020,0
France,7/5/2020,0
France,7/6/2020,0
France,7/7/2020,0
France,7/8/2020,0
France,7/9/2020,0
France,7/10/2020,0
France,7/11/2020,0
France,7/12/2020,0
France,7/13/2020,0
France,7/14/2020,0
France,7/15/2020,0
France,7/16/2020,0
France,7/17/2020,0
France,7/18/2020,0
France,7/19/2020,0
France,7/20/2020,0
France,7/21/2020,0
France,7/22/2020,0
France,7/23/2020,0
France,7/24/2020,0
France,7/25/2020,0
France,7/26/2020,0
France,7/27/2020,0
France,7/28/2020,0
France,7/29/2020,0
France,7/30/2020,0
France,7/31/2020,0
France,8/1/2020,0
France,8/2/2020,0
France,8/3/2020,0
France,8/4/2020,0
France,8/5/2020,0
France,8/6/2020,0
France,8/7/2020,0
France,8/8/2020,0
France,8/9/2020,0
France,8/10/2020,0
France,8/11/2020,0
France,8/12/2020,0
France,8/13/2020,0
France,8/14/2020,0
France,8/15/2020,0
France,8/16/2020,0
France,8/17/2020,0
France,8/18/2020,0
France,8/19/2020,0
France,8/20/2020,0
France,8/21/2020,0
France,8/22/2020,0
France,8/23/2020,0
France,8/24/2020,0
France,8/25/2020,0
France,8/26/2020,0
France,8/27/2020,0
France,8/28/2020,0
France,8/29/2020,0
France,8/30/2020,0
France,8/31/2020,0
France,9/1/2020,0
France,9/2/2020,0
France,9/3/2020,0
France,9/4/2020,0
France,9/5/2020,0
France,9/6/2020,0
France,9/7/2020,0
France,9/8/2020,0
France,9/9/2020,0
France,9/10/2020,0
France,9/11/2020,0
France,9/12/2020,0
France,9/13/2020,0
France,9/14/2020,0
France,9/15/2020,0
France,9/16/2020,0
France,9/17/2020,0
France,9/18/2020,0
France,9/19/2020,0
France,9/20/2020,0
France,9/21/2020,0
France,9/22/2020,0
France,9/23/2020,0
France,9/24/2020,0
France,9/25/2020,0
France,9/26/2020,0
France,9/27/2020,0
France,9/28/2020,0
France,9/29/2020,0
France,9/30/2020,0
France,10/1/2020,0
France,10/2/2020,0
France,10/3/2020,0
France,10/4/2020,0
France,10/5/2020,0
France,10/6/2020,0
France,10/7/2020,0
France,10/8/2020,0
France,10/9/2020,0
France,10/10/2020,0
France,10/11/2020,0
France,10/12/2020,0
France,10/13/2020,0
France,10/14/2020,0
France,10/15/2020,0
France,10/16/2020,0
France,10/17/2020,2
France,10/18/2020,2
France,10/19/2020,2
France,10/20/2020,2
France,10/21/2020,2
France,10/22/2020,2
France,10/23/2020,2
France,10/24/2020,2
France,10/25/2020,2
France,10/26/2020,2
France,10/27/2020,2
France,10/28/2020,2
France,10/29/2020,2
France,10/30/2020,2
France,10/31/2020,2
France,11/1/2020,2
France,11/2/2020,2
France,11/3/2020,2
France,11/4/2020,2
France,11/5/2020,2
France,11/6/2020,2
France,11/7/2020,2
France,11/8/2020,2
France,11/9/2020,2
France,11/10/2020,2
France,11/11/2020,2
France,11/12/2020,2
France,11/13/2020,2
France,11/14/2020,2
France,11/15/2020,2
France,11/16/2020,2
France,11/17/2020,2
France,11/18/2020,2
France,11/19/2020,2
France,11/20/2020,2
France,11/21/2020,2
France,11/22/2020,2
France,11/23/2020,2
France,11/24/2020,2
France,11/25/2020,2
France,11/26/2020,2
France,11/27/2020,2
France,11/28/2020,2
France,11/29/2020,2
France,11/30/2020,2
France,12/1/2020,2
France,12/2/2020,2
France,12/3/2020,2
France,12/4/2020,2
France,12/5/2020,2
France,12/6/2020,2
